Product,Category,Quantity,Date,Unit_Price,Amount,Channel,Customer_Name,Sex
Usb Cable,Electronics,2,2024-09-20,1500,3000,Onsite,Awah Mary,Female
Tomato Paste,Groceries,3,2024-10-19,500,1500,Online,Tanyi Victor,Female
Printer Paper,Stationery,4,2024-02-18,3000,12000,Onsite,Mbah Grace,Female
Printer Paper,Stationery,8,2024-01-28,3000,24000,Onsite,Mbah Grace,Male
T-Shirt,Clothing,4,2024-04-08,3000,12000,Online,Nkeng Paul,Female
Pen Set,Stationery,5,2024-08-24,800,4000,Onsite,Awah Mary,Male
Face Cream,Cosmetics,1,2024-11-29,3500,3500,Online,Njoku Rose,Male
Cooking Oil,Groceries,7,2024-09-05,2000,14000,Onsite,Achu Cynthia,Male
Earphones,Electronics,7,2024-01-02,3000,21000,Onsite,Agbor Samuel,Female
Sneakers,Clothing,9,2024-12-04,12000,108000,Online,Achu Cynthia,Male
Jeans,Clothing,1,2024-10-23,8000,8000,Onsite,Njoku Rose,Male
Phone Charger,Electronics,10,2024-09-01,2500,25000,Online,Mbom David,Male
Face Cream,Cosmetics,3,2024-02-05,3500,10500,Online,Obi Stella,Male
Notebook,Stationery,10,2024-05-06,500,5000,Online,Tanyi Victor,Male
Calculator,Stationery,10,2024-09-24,5000,50000,Online,Mbarga Felix,Female
Jeans,Clothing,5,2024-07-21,8000,40000,Onsite,Fon Peter,Female
T-Shirt,Clothing,1,2024-08-22,3000,3000,Online,Obi Stella,Male
Hair Oil,Cosmetics,9,2024-05-15,2500,22500,Online,Fon Peter,Female
Sugar,Groceries,5,2024-03-21,1200,6000,Online,Besong Eric,Female
Lipstick,Cosmetics,2,2024-03-09,2000,4000,Online,Tita George,Male
Hair Oil,Cosmetics,5,2024-05-24,2500,12500,Onsite,Obi Stella,Male
Sugar,Groceries,9,2024-09-07,1200,10800,Online,Tita George,Male
Stapler,Stationery,1,2024-01-02,2500,2500,Onsite,Mbarga Felix,Male
Flour,Groceries,9,2024-12-27,1800,16200,Online,Ndip Helen,Male
Earphones,Electronics,9,2024-01-19,3000,27000,Onsite,Eyong Rita,Male
Rice (5Kg),Groceries,5,2024-07-05,3500,17500,Online,Ngozi Fatima,Female
Rice (5Kg),Groceries,6,2024-10-13,3500,21000,Online,Ndip Helen,Male
Cooking Oil,Groceries,7,2024-01-13,2000,14000,Onsite,Bih Sandra,Female
Sugar,Groceries,3,2024-12-25,1200,3600,Online,Mbah Grace,Female
Pen Set,Stationery,4,2024-08-23,800,3200,Online,Eyong Rita,Female
Rice (5Kg),Groceries,4,2024-07-23,3500,14000,Online,Mbarga Felix,Female
Dress,Clothing,9,2024-07-23,7500,67500,Online,Njoku Rose,Female
Usb Cable,Electronics,3,2024-10-24,1500,4500,Online,Tita George,Male
Perfume,Cosmetics,6,2024-06-09,8000,48000,Onsite,Ndip Helen,Male
Hair Oil,Cosmetics,5,2024-01-23,2500,12500,Online,Ndip Helen,Male
Sneakers,Clothing,2,2024-12-06,12000,24000,Online,Mbarga Felix,Female
Cap,Clothing,5,2024-12-07,2000,10000,Onsite,Ndip Helen,Female
Cap,Clothing,3,2024-04-08,2000,6000,Online,Ndip Helen,Female
Lotion,Cosmetics,5,2024-07-26,1800,9000,Onsite,Njoku Rose,Male
Jeans,Clothing,7,2024-10-23,8000,56000,Onsite,Obi Stella,Female
Printer Paper,Stationery,4,2024-09-18,3000,12000,Online,Achu Cynthia,Male
Cap,Clothing,10,2024-06-20,2000,20000,Onsite,Tabi Ernest,Male
Cooking Oil,Groceries,3,2024-01-13,2000,6000,Onsite,Ngozi Fatima,Male
Face Cream,Cosmetics,8,2024-07-31,3500,28000,Onsite,Tanyi Victor,Male
Printer Paper,Stationery,4,2024-03-16,3000,12000,Onsite,Ambe John,Male
Cooking Oil,Groceries,9,2024-08-25,2000,18000,Online,Ngozi Fatima,Male
Pen Set,Stationery,8,2024-12-07,800,6400,Onsite,Mbom David,Female
Lotion,Cosmetics,7,2024-10-07,1800,12600,Onsite,Besong Eric,Male
Stapler,Stationery,4,2024-11-22,2500,10000,Online,Tita George,Female
Sneakers,Clothing,2,2024-05-26,12000,24000,Onsite,Awah Mary,Female
Cap,Clothing,2,2024-03-11,2000,4000,Onsite,Fon Peter,Male
Cooking Oil,Groceries,2,2024-07-31,2000,4000,Onsite,Ndip Helen,Female
Notebook,Stationery,4,2024-08-03,500,2000,Onsite,Agbor Samuel,Male
Notebook,Stationery,6,2024-06-01,500,3000,Online,Agbor Samuel,Female
Pen Set,Stationery,5,2024-08-11,800,4000,Onsite,Achu Cynthia,Male
Sneakers,Clothing,3,2024-08-27,12000,36000,Onsite,Fon Peter,Male
Lotion,Cosmetics,1,2024-02-12,1800,1800,Onsite,Ndip Helen,Male
Rice (5Kg),Groceries,5,2024-07-13,3500,17500,Onsite,Mbarga Felix,Male
Dress,Clothing,7,2024-05-22,7500,52500,Online,Ndip Helen,Female
Notebook,Stationery,9,2024-01-27,500,4500,Online,Eyong Rita,Male
Phone Charger,Electronics,4,2024-04-12,2500,10000,Online,Ambe John,Male
Flour,Groceries,2,2024-10-15,1800,3600,Onsite,Nkeng Paul,Female
Jeans,Clothing,10,2024-11-06,8000,80000,Onsite,Mbah Grace,Male
Bluetooth Speaker,Electronics,1,2024-06-08,20000,20000,Onsite,Tanyi Victor,Female
Rice (5Kg),Groceries,10,2024-12-19,3500,35000,Onsite,Awah Mary,Male
Face Cream,Cosmetics,10,2024-01-22,3500,35000,Onsite,Eyong Rita,Female
Bluetooth Speaker,Electronics,6,2024-01-07,20000,120000,Online,Ndip Helen,Female
Stapler,Stationery,8,2024-12-28,2500,20000,Online,Fon Peter,Female
Lipstick,Cosmetics,10,2024-10-02,2000,20000,Onsite,Achu Cynthia,Female
Lipstick,Cosmetics,6,2024-05-05,2000,12000,Onsite,Tabi Ernest,Female
Flour,Groceries,10,2024-11-08,1800,18000,Online,Agbor Samuel,Female
Stapler,Stationery,3,2024-09-06,2500,7500,Onsite,Nkeng Paul,Female
Dress,Clothing,10,2024-12-25,7500,75000,Online,Tita George,Male
Earphones,Electronics,7,2024-09-07,3000,21000,Onsite,Njoku Rose,Male
Printer Paper,Stationery,1,2024-02-17,3000,3000,Onsite,Nfor Alice,Male
Sugar,Groceries,10,2024-07-07,1200,12000,Onsite,Achu Cynthia,Female
Lipstick,Cosmetics,6,2024-12-25,2000,12000,Onsite,Besong Eric,Female
Jeans,Clothing,2,2024-04-08,8000,16000,Online,Mbarga Felix,Male
Cooking Oil,Groceries,8,2024-05-21,2000,16000,Online,Tanyi Victor,Female
Sugar,Groceries,4,2024-07-03,1200,4800,Online,Bih Sandra,Female
Hair Oil,Cosmetics,5,2024-01-24,2500,12500,Online,Ngozi Fatima,Female
Notebook,Stationery,1,2024-10-20,500,500,Onsite,Nfor Alice,Female
Stapler,Stationery,3,2024-01-27,2500,7500,Online,Tita George,Female
Power Bank,Electronics,8,2024-02-07,15000,120000,Online,Tanyi Victor,Male
Tomato Paste,Groceries,5,2024-02-13,500,2500,Onsite,Awah Mary,Male
Lotion,Cosmetics,10,2024-04-25,1800,18000,Onsite,Mbom David,Female
Stapler,Stationery,10,2024-08-07,2500,25000,Online,Nfor Alice,Male
Cooking Oil,Groceries,5,2024-12-04,2000,10000,Online,Tabi Ernest,Male
Tomato Paste,Groceries,2,2024-03-21,500,1000,Onsite,Ambe John,Female
Perfume,Cosmetics,5,2024-01-17,8000,40000,Onsite,Awah Mary,Female
Notebook,Stationery,4,2024-05-15,500,2000,Onsite,Tanyi Victor,Male
Bluetooth Speaker,Electronics,4,2024-11-27,20000,80000,Online,Fon Peter,Female
Phone Charger,Electronics,3,2024-06-06,2500,7500,Onsite,Obi Stella,Female
Power Bank,Electronics,5,2024-12-24,15000,75000,Onsite,Agbor Samuel,Female
Notebook,Stationery,10,2024-01-21,500,5000,Onsite,Ndip Helen,Female
Phone Charger,Electronics,4,2024-12-11,2500,10000,Onsite,Tanyi Victor,Male
Face Cream,Cosmetics,3,2024-08-28,3500,10500,Onsite,Mbom David,Female
Tomato Paste,Groceries,7,2024-11-21,500,3500,Onsite,Achu Cynthia,Male
Sneakers,Clothing,6,2024-06-13,12000,72000,Onsite,Mbah Grace,Male
Printer Paper,Stationery,5,2024-12-05,3000,15000,Onsite,Agbor Samuel,Male
Usb Cable,Electronics,5,2024-06-14,1500,7500,Online,Mbah Grace,Female
Perfume,Cosmetics,7,2024-01-28,8000,56000,Onsite,Nkeng Paul,Female
Notebook,Stationery,4,2024-05-16,500,2000,Onsite,Njoku Rose,Male
Printer Paper,Stationery,2,2024-01-15,3000,6000,Online,Obi Stella,Male
Cap,Clothing,1,2024-10-09,2000,2000,Online,Ndip Helen,Male
Power Bank,Electronics,2,2024-11-27,15000,30000,Onsite,Fon Peter,Female
Lipstick,Cosmetics,7,2024-09-04,2000,14000,Onsite,Achu Cynthia,Male
Hair Oil,Cosmetics,7,2024-04-07,2500,17500,Online,Obi Stella,Male
Sneakers,Clothing,6,2024-09-16,12000,72000,Onsite,Tita George,Male
Cap,Clothing,10,2024-12-03,2000,20000,Onsite,Achu Cynthia,Male
Perfume,Cosmetics,6,2024-06-19,8000,48000,Onsite,Njoku Rose,Female
Jeans,Clothing,4,2024-10-19,8000,32000,Onsite,Agbor Samuel,Male
Usb Cable,Electronics,8,2024-12-27,1500,12000,Online,Agbor Samuel,Female
Notebook,Stationery,3,2024-09-14,500,1500,Online,Tanyi Victor,Female
Notebook,Stationery,9,2024-08-21,500,4500,Onsite,Ambe John,Male
Rice (5Kg),Groceries,8,2024-05-15,3500,28000,Online,Mbarga Felix,Female
Cap,Clothing,7,2024-06-11,2000,14000,Online,Achu Cynthia,Male
Sugar,Groceries,4,2024-02-16,1200,4800,Online,Ndip Helen,Male
Pen Set,Stationery,5,2024-01-15,800,4000,Online,Ngozi Fatima,Female
Dress,Clothing,6,2024-08-08,7500,45000,Onsite,Fon Peter,Male
Hair Oil,Cosmetics,3,2024-03-30,2500,7500,Online,Tabi Ernest,Female
Calculator,Stationery,3,2024-04-28,5000,15000,Onsite,Besong Eric,Female
T-Shirt,Clothing,8,2024-05-27,3000,24000,Online,Njoku Rose,Male
Stapler,Stationery,10,2024-06-02,2500,25000,Onsite,Ndip Helen,Female
Jeans,Clothing,7,2024-09-04,8000,56000,Onsite,Mbah Grace,Male
Lipstick,Cosmetics,10,2024-05-31,2000,20000,Onsite,Nfor Alice,Male
T-Shirt,Clothing,10,2024-12-17,3000,30000,Onsite,Ngozi Fatima,Female
Tomato Paste,Groceries,6,2024-04-22,500,3000,Online,Nkeng Paul,Female
Phone Charger,Electronics,5,2024-08-13,2500,12500,Online,Ngozi Fatima,Female
Usb Cable,Electronics,6,2024-07-31,1500,9000,Online,Bih Sandra,Male
Lipstick,Cosmetics,9,2024-09-13,2000,18000,Onsite,Tita George,Male
Stapler,Stationery,6,2024-02-28,2500,15000,Online,Besong Eric,Male
Flour,Groceries,9,2024-07-06,1800,16200,Online,Tabi Ernest,Female
Cap,Clothing,2,2024-08-20,2000,4000,Onsite,Eyong Rita,Female
T-Shirt,Clothing,4,2024-08-29,3000,12000,Online,Ambe John,Female
Power Bank,Electronics,5,2024-11-28,15000,75000,Online,Ndip Helen,Male
Phone Charger,Electronics,5,2024-09-09,2500,12500,Online,Mbah Grace,Male
Hair Oil,Cosmetics,7,2024-08-20,2500,17500,Online,Eyong Rita,Female
Notebook,Stationery,8,2024-11-11,500,4000,Online,Ndip Helen,Female
Jeans,Clothing,8,2024-08-15,8000,64000,Online,Awah Mary,Female
Cap,Clothing,6,2024-02-01,2000,12000,Online,Agbor Samuel,Female
Power Bank,Electronics,2,2024-12-05,15000,30000,Online,Nkeng Paul,Male
Jeans,Clothing,3,2024-10-16,8000,24000,Online,Nkeng Paul,Male
Hair Oil,Cosmetics,4,2024-06-17,2500,10000,Onsite,Fon Peter,Male
Cooking Oil,Groceries,9,2024-05-08,2000,18000,Online,Bih Sandra,Male
Rice (5Kg),Groceries,6,2024-05-01,3500,21000,Online,Tanyi Victor,Female
Sugar,Groceries,1,2024-03-05,1200,1200,Online,Ndip Helen,Male
Printer Paper,Stationery,6,2024-09-19,3000,18000,Onsite,Tanyi Victor,Male
Hair Oil,Cosmetics,10,2024-01-23,2500,25000,Onsite,Mbom David,Female
Phone Charger,Electronics,8,2024-07-24,2500,20000,Onsite,Ndip Helen,Male
Notebook,Stationery,2,2024-06-13,500,1000,Online,Obi Stella,Male
Sugar,Groceries,10,2024-11-20,1200,12000,Onsite,Tanyi Victor,Female
Lotion,Cosmetics,5,2024-08-20,1800,9000,Online,Mbom David,Female
Bluetooth Speaker,Electronics,4,2024-08-08,20000,80000,Onsite,Besong Eric,Male
Sneakers,Clothing,7,2024-07-31,12000,84000,Onsite,Mbah Grace,Female
Dress,Clothing,6,2024-03-19,7500,45000,Online,Achu Cynthia,Male
Phone Charger,Electronics,7,2024-02-19,2500,17500,Online,Eyong Rita,Male
Lotion,Cosmetics,9,2024-06-17,1800,16200,Onsite,Mbah Grace,Female
Notebook,Stationery,5,2024-11-03,500,2500,Online,Nfor Alice,Female
Lotion,Cosmetics,4,2024-03-20,1800,7200,Online,Achu Cynthia,Male
Cap,Clothing,6,2024-02-28,2000,12000,Onsite,Tita George,Male
Lotion,Cosmetics,10,2024-12-11,1800,18000,Onsite,Njoku Rose,Male
Earphones,Electronics,5,2024-12-25,3000,15000,Onsite,Nfor Alice,Female
Earphones,Electronics,3,2024-10-16,3000,9000,Online,Agbor Samuel,Male
Phone Charger,Electronics,9,2024-04-20,2500,22500,Onsite,Agbor Samuel,Female
Jeans,Clothing,6,2024-06-08,8000,48000,Online,Mbarga Felix,Male
Cooking Oil,Groceries,10,2024-01-26,2000,20000,Onsite,Tabi Ernest,Female
Printer Paper,Stationery,10,2024-08-14,3000,30000,Online,Ndip Helen,Female
Face Cream,Cosmetics,6,2024-08-08,3500,21000,Onsite,Mbah Grace,Female
Lipstick,Cosmetics,1,2024-04-22,2000,2000,Online,Agbor Samuel,Male
Sugar,Groceries,4,2024-03-11,1200,4800,Onsite,Tita George,Female
Phone Charger,Electronics,8,2024-08-08,2500,20000,Onsite,Bih Sandra,Male
Hair Oil,Cosmetics,9,2024-10-13,2500,22500,Onsite,Eyong Rita,Male
Power Bank,Electronics,1,2024-08-23,15000,15000,Onsite,Tabi Ernest,Female
Perfume,Cosmetics,7,2024-05-28,8000,56000,Online,Mbah Grace,Female
Jeans,Clothing,10,2024-08-23,8000,80000,Onsite,Eyong Rita,Male
Earphones,Electronics,7,2024-10-28,3000,21000,Onsite,Agbor Samuel,Male
Dress,Clothing,4,2024-06-19,7500,30000,Online,Bih Sandra,Male
Lotion,Cosmetics,4,2024-06-27,1800,7200,Online,Eyong Rita,Male
Earphones,Electronics,5,2024-04-11,3000,15000,Online,Bih Sandra,Male
Flour,Groceries,8,2024-10-15,1800,14400,Onsite,Tanyi Victor,Female
Jeans,Clothing,8,2024-02-04,8000,64000,Onsite,Achu Cynthia,Female
Cap,Clothing,1,2024-06-29,2000,2000,Onsite,Mbom David,Male
Printer Paper,Stationery,1,2024-01-30,3000,3000,Online,Eyong Rita,Female
Bluetooth Speaker,Electronics,10,2024-09-16,20000,200000,Online,Agbor Samuel,Female
Calculator,Stationery,4,2024-06-13,5000,20000,Online,Obi Stella,Female
Power Bank,Electronics,2,2024-06-24,15000,30000,Online,Tabi Ernest,Male
Flour,Groceries,8,2024-09-25,1800,14400,Onsite,Mbom David,Male
Dress,Clothing,7,2024-07-28,7500,52500,Onsite,Mbarga Felix,Male
Usb Cable,Electronics,2,2024-10-12,1500,3000,Onsite,Agbor Samuel,Female
Hair Oil,Cosmetics,6,2024-02-11,2500,15000,Onsite,Tanyi Victor,Male
Sneakers,Clothing,3,2024-10-31,12000,36000,Onsite,Tabi Ernest,Female
Jeans,Clothing,9,2024-02-17,8000,72000,Online,Ndip Helen,Female
Dress,Clothing,3,2024-04-19,7500,22500,Online,Mbarga Felix,Female
Cooking Oil,Groceries,3,2024-02-09,2000,6000,Online,Nfor Alice,Male
Cap,Clothing,3,2024-11-01,2000,6000,Online,Agbor Samuel,Male
Tomato Paste,Groceries,3,2024-08-12,500,1500,Onsite,Ngozi Fatima,Female
Flour,Groceries,10,2024-05-25,1800,18000,Online,Besong Eric,Male
Sneakers,Clothing,4,2024-07-07,12000,48000,Onsite,Tanyi Victor,Female
Sneakers,Clothing,9,2024-09-27,12000,108000,Online,Ndip Helen,Male
Hair Oil,Cosmetics,5,2024-01-27,2500,12500,Online,Achu Cynthia,Female
Face Cream,Cosmetics,5,2024-02-12,3500,17500,Onsite,Bih Sandra,Female
Hair Oil,Cosmetics,7,2024-02-16,2500,17500,Onsite,Awah Mary,Female
Power Bank,Electronics,1,2024-07-21,15000,15000,Online,Mbom David,Female
Notebook,Stationery,6,2024-04-24,500,3000,Online,Ambe John,Female
Jeans,Clothing,3,2024-01-20,8000,24000,Online,Nfor Alice,Female
Printer Paper,Stationery,10,2024-01-03,3000,30000,Onsite,Tabi Ernest,Male
Cooking Oil,Groceries,9,2024-11-07,2000,18000,Online,Mbom David,Female
Jeans,Clothing,5,2024-03-03,8000,40000,Onsite,Ngozi Fatima,Male
Perfume,Cosmetics,2,2024-02-26,8000,16000,Online,Achu Cynthia,Male
Sugar,Groceries,7,2024-01-01,1200,8400,Online,Obi Stella,Female
Perfume,Cosmetics,3,2024-12-06,8000,24000,Online,Tabi Ernest,Female
Lotion,Cosmetics,9,2024-09-16,1800,16200,Onsite,Njoku Rose,Male
Notebook,Stationery,7,2024-07-10,500,3500,Onsite,Tita George,Male
Usb Cable,Electronics,4,2024-12-02,1500,6000,Online,Mbah Grace,Female
Usb Cable,Electronics,9,2024-06-22,1500,13500,Onsite,Bih Sandra,Female
Cooking Oil,Groceries,2,2024-08-22,2000,4000,Online,Ngozi Fatima,Female
Earphones,Electronics,1,2024-06-10,3000,3000,Onsite,Nfor Alice,Female
T-Shirt,Clothing,4,2024-05-26,3000,12000,Onsite,Eyong Rita,Male
T-Shirt,Clothing,6,2024-08-11,3000,18000,Onsite,Agbor Samuel,Female
Jeans,Clothing,8,2024-12-20,8000,64000,Onsite,Achu Cynthia,Female
Power Bank,Electronics,2,2024-08-08,15000,30000,Onsite,Obi Stella,Male
T-Shirt,Clothing,2,2024-06-16,3000,6000,Onsite,Nfor Alice,Female
Perfume,Cosmetics,3,2024-12-19,8000,24000,Onsite,Besong Eric,Female
Usb Cable,Electronics,10,2024-08-10,1500,15000,Online,Tita George,Male
Stapler,Stationery,9,2024-12-13,2500,22500,Online,Bih Sandra,Male
Perfume,Cosmetics,1,2024-03-05,8000,8000,Onsite,Tabi Ernest,Male
Sneakers,Clothing,10,2024-01-17,12000,120000,Onsite,Obi Stella,Male
Dress,Clothing,8,2024-02-09,7500,60000,Onsite,Tanyi Victor,Male
Stapler,Stationery,5,2024-05-07,2500,12500,Online,Mbah Grace,Male
Calculator,Stationery,7,2024-10-14,5000,35000,Onsite,Mbah Grace,Female
Pen Set,Stationery,10,2024-05-26,800,8000,Online,Achu Cynthia,Male
Rice (5Kg),Groceries,8,2024-03-29,3500,28000,Onsite,Besong Eric,Male
T-Shirt,Clothing,9,2024-10-04,3000,27000,Online,Nfor Alice,Female
Sugar,Groceries,9,2024-04-24,1200,10800,Online,Mbah Grace,Male
Flour,Groceries,1,2024-07-03,1800,1800,Onsite,Njoku Rose,Female
Hair Oil,Cosmetics,10,2024-02-14,2500,25000,Onsite,Tabi Ernest,Female
Calculator,Stationery,7,2024-07-28,5000,35000,Online,Tanyi Victor,Male
T-Shirt,Clothing,8,2024-08-26,3000,24000,Online,Mbom David,Female
Lotion,Cosmetics,3,2024-03-07,1800,5400,Online,Ndip Helen,Male
Hair Oil,Cosmetics,5,2024-03-25,2500,12500,Online,Bih Sandra,Female
Cap,Clothing,5,2024-02-10,2000,10000,Onsite,Tita George,Male
Sugar,Groceries,10,2024-09-30,1200,12000,Online,Tabi Ernest,Male
Tomato Paste,Groceries,10,2024-06-21,500,5000,Online,Tanyi Victor,Male
Phone Charger,Electronics,10,2024-05-15,2500,25000,Online,Nkeng Paul,Female
Calculator,Stationery,5,2024-11-24,5000,25000,Online,Nfor Alice,Female
Stapler,Stationery,8,2024-02-07,2500,20000,Onsite,Ngozi Fatima,Male
Printer Paper,Stationery,8,2024-04-14,3000,24000,Onsite,Mbarga Felix,Male
Dress,Clothing,7,2024-03-07,7500,52500,Onsite,Eyong Rita,Male
Flour,Groceries,2,2024-05-16,1800,3600,Online,Besong Eric,Male
Phone Charger,Electronics,5,2024-07-15,2500,12500,Online,Obi Stella,Female
Sugar,Groceries,10,2024-06-09,1200,12000,Onsite,Nkeng Paul,Male
Perfume,Cosmetics,8,2024-06-06,8000,64000,Online,Achu Cynthia,Male
Calculator,Stationery,8,2024-05-03,5000,40000,Online,Nkeng Paul,Female
Usb Cable,Electronics,8,2024-11-01,1500,12000,Online,Achu Cynthia,Female
Power Bank,Electronics,3,2024-05-15,15000,45000,Onsite,Eyong Rita,Female
Power Bank,Electronics,1,2024-10-18,15000,15000,Onsite,Njoku Rose,Male
Lipstick,Cosmetics,2,2024-07-16,2000,4000,Onsite,Mbom David,Female
Lotion,Cosmetics,2,2024-03-06,1800,3600,Onsite,Mbah Grace,Female
Cap,Clothing,6,2024-03-14,2000,12000,Online,Nkeng Paul,Female
Phone Charger,Electronics,3,2024-06-19,2500,7500,Online,Achu Cynthia,Female
Lotion,Cosmetics,3,2024-06-16,1800,5400,Online,Obi Stella,Female
Calculator,Stationery,5,2024-10-30,5000,25000,Onsite,Mbarga Felix,Female
Notebook,Stationery,6,2024-06-18,500,3000,Onsite,Mbah Grace,Female
Bluetooth Speaker,Electronics,8,2024-05-15,20000,160000,Online,Tanyi Victor,Male
Perfume,Cosmetics,3,2024-09-25,8000,24000,Online,Obi Stella,Female
Rice (5Kg),Groceries,10,2024-12-24,3500,35000,Online,Mbah Grace,Male
Stapler,Stationery,7,2024-03-18,2500,17500,Onsite,Ndip Helen,Male
Lotion,Cosmetics,8,2024-02-01,1800,14400,Onsite,Fon Peter,Male
Calculator,Stationery,7,2024-06-09,5000,35000,Onsite,Bih Sandra,Female
Lipstick,Cosmetics,5,2024-11-08,2000,10000,Online,Achu Cynthia,Male
Cap,Clothing,5,2024-04-25,2000,10000,Online,Nfor Alice,Female
Stapler,Stationery,8,2024-06-27,2500,20000,Onsite,Njoku Rose,Female
Bluetooth Speaker,Electronics,9,2024-07-13,20000,180000,Online,Agbor Samuel,Female
T-Shirt,Clothing,5,2024-02-10,3000,15000,Onsite,Eyong Rita,Female
Pen Set,Stationery,4,2024-10-02,800,3200,Online,Tita George,Female
Bluetooth Speaker,Electronics,10,2024-05-02,20000,200000,Online,Awah Mary,Male
Rice (5Kg),Groceries,2,2024-07-30,3500,7000,Online,Mbarga Felix,Female
Rice (5Kg),Groceries,9,2024-03-21,3500,31500,Onsite,Ndip Helen,Female
Sugar,Groceries,6,2024-05-26,1200,7200,Online,Ngozi Fatima,Male
Face Cream,Cosmetics,3,2024-08-01,3500,10500,Onsite,Bih Sandra,Male
Pen Set,Stationery,5,2024-01-20,800,4000,Online,Ambe John,Female
Dress,Clothing,8,2024-11-24,7500,60000,Online,Njoku Rose,Female
Perfume,Cosmetics,5,2024-04-08,8000,40000,Online,Mbah Grace,Female
Stapler,Stationery,3,2024-01-08,2500,7500,Online,Mbarga Felix,Female
Tomato Paste,Groceries,7,2024-08-06,500,3500,Online,Mbom David,Female
Notebook,Stationery,3,2024-03-12,500,1500,Online,Achu Cynthia,Female
Usb Cable,Electronics,7,2024-04-30,1500,10500,Onsite,Besong Eric,Female
Cap,Clothing,10,2024-01-06,2000,20000,Online,Tita George,Female
Phone Charger,Electronics,8,2024-06-06,2500,20000,Onsite,Bih Sandra,Female
Usb Cable,Electronics,6,2024-11-10,1500,9000,Online,Awah Mary,Male
Pen Set,Stationery,8,2024-11-06,800,6400,Onsite,Eyong Rita,Female
Hair Oil,Cosmetics,4,2024-12-14,2500,10000,Onsite,Obi Stella,Male
Lipstick,Cosmetics,2,2024-10-15,2000,4000,Online,Mbah Grace,Male
Lotion,Cosmetics,3,2024-03-25,1800,5400,Online,Mbarga Felix,Female
Tomato Paste,Groceries,8,2024-02-16,500,4000,Online,Mbom David,Female
Pen Set,Stationery,9,2024-07-31,800,7200,Onsite,Besong Eric,Male
T-Shirt,Clothing,7,2024-05-10,3000,21000,Online,Ambe John,Male
Power Bank,Electronics,6,2024-12-24,15000,90000,Online,Tabi Ernest,Male
Notebook,Stationery,5,2024-07-28,500,2500,Onsite,Bih Sandra,Male
Sneakers,Clothing,8,2024-07-12,12000,96000,Online,Agbor Samuel,Male
T-Shirt,Clothing,3,2024-10-02,3000,9000,Online,Agbor Samuel,Male
Phone Charger,Electronics,5,2024-08-25,2500,12500,Onsite,Njoku Rose,Female
Cooking Oil,Groceries,8,2024-06-26,2000,16000,Online,Fon Peter,Female
Phone Charger,Electronics,7,2024-11-10,2500,17500,Online,Ambe John,Male
Phone Charger,Electronics,10,2024-01-18,2500,25000,Online,Besong Eric,Male
Power Bank,Electronics,8,2024-04-29,15000,120000,Online,Njoku Rose,Male
Tomato Paste,Groceries,5,2024-04-29,500,2500,Onsite,Tanyi Victor,Female
Sugar,Groceries,3,2024-12-04,1200,3600,Onsite,Mbom David,Male
Dress,Clothing,1,2024-10-12,7500,7500,Onsite,Tanyi Victor,Male
